20
500000000
45 25 25 5 
50000000  2  1  45000  0  15000  0  
49750000  2  2  0  35000  0  15000  
49500000  3  1  0  10000  15000  0  
49250000  1  1  10000  0  30000  0  
49000000  1  1  30000  0  60000  0  
48750000  2  1  20000  0  45000  0  
48500000  3  1  0  25000  0  15000  
48250000  2  1  35000  0  15000  0  
48000000  2  1  50000  0  0  15000  
47750000  1  2  0  5000  0  45000  
47500000  3  2  5000  0  60000  0  
47250000  1  2  0  40000  60000  0  
47000000  3  1  25000  0  0  60000  
46750000  3  2  0  5000  0  30000  
46500000  3  2  50000  0  45000  0  
46250000  3  2  0  45000  60000  0  
46000000  2  2  20000  0  45000  0  
45750000  3  2  20000  0  0  45000  
45500000  3  2  45000  0  0  45000  
45250000  3  2  0  20000  15000  0  
