

budget= 204800.000000;

nprojects=256;

nareas= 8;

nactivities= 16;

nsynergies= 10;

Areas=[
< 14824.034, 38368.090>
< 20296.590, 38418.543>
< 9224.802, 55348.812>
< 5332.867, 40885.316>
< 6908.576, 35310.500>
< 7917.216, 39586.078>
< 17382.387, 56975.605>
< 8058.729, 52829.449>
];


Projects= [
<2795.58, 5925.58, 7,4.26>
<2817.08, 5947.94, 7,3.98>
<4434.22, 5890.98, 1,3.84>
<1287.63, 5811.88, 4,5.10>
<3850.08, 6085.42, 3,7.76>
<270.05, 5948.86, 2,4.75>
<2915.89, 5997.18, 5,7.90>
<4256.56, 5831.92, 5,5.38>
<597.27, 5862.02, 7,9.30>
<4350.76, 5775.04, 8,6.71>
<2170.70, 5931.22, 5,6.43>
<1791.48, 5861.28, 5,9.02>
<3985.22, 5736.68, 7,7.48>
<4654.52, 5874.78, 6,7.97>
<2801.22, 5869.20, 7,4.19>
<1819.17, 5671.94, 4,7.69>
<1366.36, 5813.10, 6,3.35>
<4861.10, 5884.10, 3,9.65>
<1689.62, 5868.26, 5,6.01>
<3949.52, 5876.14, 2,8.39>
<3744.78, 5707.72, 6,4.12>
<3541.04, 5887.32, 4,7.13>
<3154.83, 5889.86, 2,7.83>
<4763.29, 5865.62, 5,7.20>
<1213.65, 5845.32, 8,4.33>
<4382.15, 5961.26, 2,9.37>
<2626.72, 5843.08, 2,4.89>
<2617.49, 5854.24, 8,8.46>
<4001.95, 5770.28, 2,9.30>
<4398.83, 5766.56, 4,3.35>
<4267.96, 5769.94, 4,6.22>
<4561.92, 5786.82, 7,9.58>
<1409.87, 5935.32, 6,3.70>
<1652.71, 5897.00, 5,7.90>
<1600.38, 5676.42, 3,4.26>
<4291.17, 5879.32, 2,4.19>
<3184.97, 5820.56, 2,3.14>
<3984.79, 5842.88, 1,4.47>
<4826.66, 5905.86, 1,4.61>
<728.41, 5854.00, 7,8.81>
<3827.54, 5869.62, 7,6.64>
<569.13, 5861.90, 2,3.98>
<1995.01, 6025.10, 8,6.57>
<1629.63, 5915.62, 8,8.25>
<4095.75, 5974.64, 6,6.29>
<4151.75, 5802.98, 4,3.00>
<335.08, 5771.98, 8,3.63>
<3420.79, 5894.28, 2,6.15>
<2419.36, 5968.28, 3,9.09>
<512.36, 5948.60, 6,8.04>
<4323.76, 5910.24, 5,7.69>
<4150.12, 5817.70, 2,9.51>
<3326.09, 5870.70, 6,4.33>
<3333.99, 5785.58, 4,9.51>
<3161.47, 5954.02, 3,3.00>
<2109.02, 5915.16, 7,9.16>
<3266.07, 5915.58, 6,6.57>
<3861.64, 6090.46, 6,5.52>
<2449.12, 5960.06, 3,9.93>
<4092.58, 5932.20, 3,9.72>
<2754.29, 5729.60, 5,9.72>
<1386.26, 5882.68, 6,9.44>
<3319.91, 5743.32, 4,9.65>
<1765.25, 5911.02, 1,8.32>
<2722.11, 5826.10, 4,6.99>
<3983.80, 6070.88, 5,5.87>
<457.97, 5835.24, 4,9.30>
<1129.11, 5944.50, 6,9.79>
<3055.34, 5958.80, 4,3.00>
<3090.03, 5843.14, 8,3.49>
<4507.01, 5855.28, 7,4.40>
<624.66, 6007.02, 7,6.99>
<1064.44, 5857.76, 7,3.14>
<2133.77, 5711.16, 6,5.10>
<1065.85, 5917.36, 5,6.99>
<1524.23, 5867.98, 2,3.00>
<3032.49, 5866.98, 8,8.32>
<278.23, 5797.08, 8,3.70>
<280.95, 5748.38, 8,5.31>
<4322.57, 5967.62, 3,3.42>
<4343.48, 5792.04, 7,9.02>
<3612.72, 6058.54, 3,7.90>
<3324.47, 5851.04, 4,5.31>
<1089.92, 5907.24, 6,9.30>
