budget= 50000.000000;

nprojects=100;

nareas= 2;

nactivities= 5;

 nsynergies= 5;

 pi=0.50;

 maxitems= 5;

Areas=[
< 14300.00, 32500.00>
< 15910.00, 37000.00>
];


Projects= [
<1114.35, 1626.60, 2, 5.24>
<1224.05, 1736.29, 2, 4.96>
<1101.75, 1784.49, 2, 8.67>
<514.98, 1709.20, 2, 8.74>
<889.28, 1958.53, 1, 7.97>
<1022.81, 2092.06, 1, 8.18>
<1549.36, 1936.64, 1, 4.12>
<598.30, 1792.52, 2, 7.83>
<1140.63, 1652.87, 2, 7.48>
<500.43, 1694.65, 2, 5.59>
<1204.30, 1716.55, 2, 5.80>
<878.69, 1436.46, 1, 6.43>
<1104.47, 1491.75, 1, 3.91>
<461.65, 1530.90, 1, 4.89>
<1079.09, 1466.37, 1, 8.81>
<1060.44, 1447.72, 1, 7.34>
<990.10, 1547.87, 1, 3.77>
<1114.05, 1501.33, 1, 9.79>
<482.82, 1552.07, 1, 7.69>
<482.80, 1552.05, 1, 8.81>
<913.29, 1471.07, 1, 5.45>
<421.40, 1490.65, 1, 4.40>
<973.03, 1530.81, 1, 4.96>
<971.37, 1529.15, 1, 9.51>
<1159.13, 1546.41, 1, 8.53>
<383.73, 1452.98, 1, 3.91>
<843.60, 1401.37, 1, 5.66>
<1148.59, 1535.86, 1, 6.92>
<865.33, 1423.10, 1, 8.60>
<487.19, 1556.44, 1, 9.02>
<364.73, 1433.98, 1, 3.42>
<1180.22, 1567.50, 1, 8.81>
<1098.24, 1485.52, 1, 6.01>
<435.66, 1504.91, 1, 7.34>
<909.38, 1467.15, 1, 3.84>
<46.06, 1240.28, 2, 3.07>
<599.55, 1282.29, 2, 3.49>
<715.27, 1227.51, 2, 6.50>
<810.36, 1322.61, 2, 3.98>
<744.50, 1256.75, 2, 5.24>
<777.94, 1290.19, 2, 8.46>
<761.81, 1274.06, 2, 7.55>
<7.59, 1201.81, 2, 3.84>
<673.77, 1186.01, 2, 4.40>
<685.69, 1197.94, 2, 3.63>
<39.51, 1233.73, 2, 7.20>
<102.21, 1296.43, 2, 7.06>
<720.99, 1403.73, 2, 9.02>
<799.93, 1312.18, 2, 4.96>
<929.48, 1441.72, 2, 7.48>
<965.06, 1477.31, 2, 9.86>
<269.19, 1463.41, 2, 9.37>
<819.21, 1331.46, 2, 9.37>
<816.98, 1329.23, 2, 6.08>
<630.18, 1312.92, 2, 9.16>
<662.06, 1344.80, 2, 9.93>
<881.88, 1394.13, 2, 8.25>
<711.21, 1393.95, 2, 9.09>
<816.09, 1328.34, 2, 9.37>
<836.92, 1349.17, 2, 8.88>
<196.78, 1391.00, 2, 7.83>
<69.16, 635.43, 1, 7.76>
<59.53, 708.49, 1, 6.08>
<89.33, 647.11, 1, 5.31>
<256.19, 643.46, 1, 3.49>
<237.44, 624.72, 1, 4.12>
<118.72, 684.71, 1, 3.98>
<121.58, 679.35, 1, 3.98>
<291.86, 679.14, 1, 3.00>
<297.54, 684.82, 1, 3.77>
<995.06, 1507.31, 2, 5.45>
<402.48, 1596.70, 2, 7.13>
<746.21, 1428.95, 2, 8.53>
<1080.62, 1592.86, 2, 3.14>
<225.14, 1419.36, 2, 3.35>
<1054.73, 1566.98, 2, 4.61>
<1087.33, 1599.57, 2, 5.45>
<861.47, 1544.22, 2, 3.42>
<944.98, 1457.23, 2, 6.50>
<615.85, 1003.13, 1, 3.28>
<70.81, 998.45, 1, 5.52>
<458.17, 1015.95, 1, 7.62>
<563.19, 950.47, 1, 8.60>
<622.26, 1009.54, 1, 7.20>
<622.42, 1009.70, 1, 5.66>
<112.74, 823.80, 1, 4.54>
<316.10, 873.87, 1, 8.95>
<194.22, 875.03, 1, 5.80>
<213.39, 855.86, 1, 8.60>
<448.26, 835.54, 1, 9.37>
<471.89, 859.17, 1, 5.31>
<205.29, 863.96, 1, 7.48>
<241.18, 773.62, 2, 3.70>
<342.48, 854.73, 2, 3.00>
<231.13, 790.20, 2, 3.63>
<412.24, 924.49, 2, 4.47>
<347.35, 859.60, 2, 5.10>
<372.94, 885.19, 2, 9.93>
<260.18, 934.04, 2, 7.97>
<322.48, 834.72, 2, 6.01>];

Activities= {
<1, 1, 0.36, 420.21, 451.83>,
<1, 2, 0.15, 125.68, 220.49>,
<1, 3, 0.31, 298.75, 314.48>,
<1, 4, 0.18, 247.97, 354.24>,
<1, 5, 0.00, 148.49, 285.56>,
<2, 1, 0.27, 173.38, 279.64>,
<2, 2, 0.12, 352.89, 371.47>,
<2, 3, 0.08, 204.47, 287.99>,
<2, 4, 0.24, 243.33, 459.12>,
<2, 5, 0.28, 270.46, 338.08>,
<3, 1, 0.26, 296.87, 329.85>,
<3, 2, 0.16, 363.69, 491.48>,
<3, 3, 0.03, 134.74, 313.36>,
<3, 4, 0.24, 137.22, 211.10>,
<3, 5, 0.32, 236.90, 438.70>,
<4, 1, 0.26, 59.51, 350.04>,
<4, 2, 0.36, 167.26, 321.66>,
<4, 3, 0.08, 171.52, 350.04>,
<4, 4, 0.12, 357.61, 441.49>,
<4, 5, 0.18, 22.14, 245.97>,
<5, 1, 0.26, 299.17, 404.28>,
<5, 2, 0.24, 395.30, 449.20>,
<5, 3, 0.25, 156.55, 381.82>,
<5, 4, 0.20, 29.11, 323.43>,
<5, 5, 0.05, 103.95, 399.79>,
<6, 1, 0.22, 392.35, 576.99>,
<6, 2, 0.34, 375.86, 494.56>,
<6, 3, 0.05, 291.40, 455.31>,
<6, 4, 0.17, 63.59, 211.95>,
<6, 5, 0.22, 63.59, 353.26>,
<7, 1, 0.25, 335.35, 342.19>,
<7, 2, 0.21, 293.08, 353.11>,
<7, 3, 0.29, 323.26, 436.84>,
<7, 4, 0.06, 411.25, 520.56>,
<7, 5, 0.19, 218.64, 283.94>,
<8, 1, 0.16, 36.16, 258.30>,
<8, 2, 0.12, 240.96, 276.97>,
<8, 3, 0.03, 120.93, 417.01>,
<8, 4, 0.26, 0.00, 382.78>,
