

budget= 204800.000000;

nprojects=256;

nareas= 8;

nactivities= 16;

nsynergies= 10;

Areas=[
< 6453.069, 43558.215>
< 11047.320, 37560.887>
< 14954.432, 46732.602>
< 15326.644, 31986.039>
< 6572.150, 50112.648>
< 11498.131, 52699.770>
< 14979.018, 41192.297>
< 25271.910, 50543.820>
];


Projects= [
<1650.90, 5885.78, 1,4.96>
<3791.26, 5820.60, 8,4.26>
<2260.09, 5878.56, 3,9.44>
<4481.84, 5834.88, 1,9.44>
<1939.16, 5929.94, 5,3.49>
<1457.44, 5741.14, 7,9.23>
<2257.88, 5862.32, 7,8.60>
<947.16, 5897.82, 8,4.40>
<3189.38, 5765.98, 8,7.20>
<495.59, 5933.82, 1,7.06>
<3939.00, 5795.16, 8,9.93>
<3911.37, 5962.12, 4,9.86>
<1918.28, 5881.12, 7,6.50>
<3313.10, 5806.00, 1,8.88>
<3970.97, 5942.08, 6,5.80>
<2483.52, 5830.54, 8,4.89>
<4065.59, 5998.68, 5,5.03>
<1266.90, 5859.16, 2,7.34>
<4714.38, 5832.32, 5,4.12>
<620.93, 6022.62, 6,4.61>
<2947.48, 5872.06, 5,9.79>
<1497.44, 5945.96, 1,9.30>
<684.09, 5737.52, 5,3.84>
<3242.42, 5869.74, 4,4.75>
<3231.94, 6006.52, 3,5.94>
<2798.88, 5877.66, 1,4.26>
<1074.10, 5910.56, 4,8.32>
<3260.85, 5959.34, 6,5.73>
<365.04, 5889.18, 5,3.63>
<370.54, 5705.32, 8,8.88>
<2632.36, 5832.06, 8,8.53>
<1255.88, 5836.22, 3,4.19>
<3516.70, 5847.68, 8,7.27>
<3304.72, 5796.76, 3,5.03>
<3035.04, 5851.04, 8,5.59>
<4312.19, 5855.92, 6,6.64>
<3761.51, 5923.64, 6,7.76>
<3435.14, 5997.16, 1,7.55>
<687.12, 5931.66, 6,6.64>
<3035.42, 5788.66, 6,6.71>
<377.18, 5920.16, 1,4.75>
<2819.30, 5937.54, 4,5.80>
<4942.83, 6023.90, 2,9.37>
<2191.27, 5878.70, 6,8.53>
<1755.92, 5700.12, 1,3.49>
<4358.22, 5878.38, 1,3.07>
<2208.30, 5893.76, 3,8.46>
<2012.67, 5970.12, 3,9.65>
<4511.27, 5889.92, 7,3.14>
<1719.30, 5704.92, 5,7.76>
<2375.90, 5890.70, 8,5.31>
<922.28, 5855.00, 7,4.89>
<1593.68, 5821.54, 8,3.98>
<1283.72, 5790.18, 6,5.38>
<3184.45, 5931.74, 6,8.74>
<3495.16, 5905.56, 1,7.55>
<4589.55, 5988.74, 2,7.34>
<585.75, 5896.10, 7,7.20>
<3933.46, 5851.62, 5,9.23>
<3001.40, 5920.78, 7,7.06>
<2549.14, 6080.60, 3,3.42>
<1055.76, 5742.98, 7,5.38>
<4279.68, 6018.56, 2,5.10>
