

budget= 204800.000000;

nprojects=256;

nareas= 8;

nactivities= 16;

nsynergies= 10;

Areas=[
< 10354.289, 53497.160>
< 15248.776, 39646.816>
< 9045.130, 39659.414>
< 12710.784, 27963.725>
< 11710.852, 45379.547>
< 8962.980, 47802.559>
< 18460.646, 44947.660>
< 24754.742, 63949.750>
];


Projects= [
<1561.28, 5849.04, 2,8.46>
<3985.06, 5866.66, 6,3.28>
<2170.17, 5855.20, 7,7.06>
<3727.40, 5850.36, 1,5.59>
<3458.67, 5965.54, 8,8.11>
<1192.69, 5919.26, 4,8.81>
<850.05, 5948.60, 2,3.70>
<4759.46, 5982.56, 1,6.36>
<4678.27, 5926.40, 5,4.54>
<2615.00, 5834.06, 2,4.19>
<3546.88, 5828.84, 2,4.89>
<307.91, 5674.46, 4,8.53>
<2865.77, 5874.42, 3,5.24>
<3539.24, 5979.34, 7,4.19>
<4700.17, 6011.68, 8,6.43>
<280.55, 5757.06, 2,3.35>
<3247.64, 5729.72, 8,4.54>
<1305.53, 5935.50, 8,4.96>
<1667.31, 5799.14, 6,6.57>
<2460.54, 5861.24, 3,6.36>
<2880.44, 5746.44, 8,6.64>
<2274.22, 5847.32, 6,4.05>
<876.43, 5796.20, 6,5.80>
<4098.30, 5915.88, 8,4.61>
<3522.35, 5957.28, 8,4.96>
<2525.11, 5859.76, 4,5.17>
<2301.57, 5865.58, 8,5.87>
<2710.46, 5872.14, 3,6.99>
<1403.11, 5811.58, 4,4.12>
<3901.36, 5838.12, 8,4.68>
<2605.72, 5807.96, 6,5.87>
<3540.70, 5971.06, 7,9.86>
<2259.33, 5843.80, 6,6.01>
<4106.71, 5883.50, 8,6.29>
<2772.63, 5941.74, 7,6.08>
<2595.19, 5907.16, 2,7.97>
<1825.22, 6002.70, 7,5.10>
<2704.08, 5863.66, 7,3.77>
<1358.14, 5880.96, 7,6.78>
<1971.26, 5972.58, 8,8.95>
<2879.42, 5791.12, 4,8.53>
<400.40, 5730.86, 1,9.23>
<2724.52, 5773.60, 1,8.60>
<893.30, 5843.88, 8,6.15>
<3410.05, 5874.94, 3,8.11>
<836.25, 5854.32, 2,7.62>
<1867.23, 5726.86, 6,6.57>
<3098.52, 5720.92, 7,8.67>
<936.00, 5889.42, 6,6.01>
<2282.52, 5717.26, 5,5.80>
<1017.31, 5782.72, 8,8.25>
<577.11, 5773.28, 5,5.45>
<3282.90, 5912.34, 3,3.14>
<2872.72, 5761.44, 4,4.89>
<3101.47, 5812.98, 7,8.95>
