budget= 50000.000000;

nprojects=100;

nareas= 2;

nactivities= 5;

nsynergies= 5;

 pi=0.50;

 maxitems= 5;

Areas=[
< 14300.00, 32500.00>
< 15910.00, 37000.00>
];


Projects= [
<1092.22, 1724.59, 2, 7.69>
<1276.69, 1738.57, 2, 8.81>
<1198.28, 1660.15, 2, 5.45>
<1217.24, 1679.11, 2, 4.40>
<1586.74, 2008.52, 1, 4.96>
<1584.85, 2006.64, 1, 9.51>
<922.49, 2026.25, 1, 8.53>
<1251.93, 1713.80, 2, 3.91>
<1198.96, 1660.83, 2, 5.66>
<626.51, 1770.35, 2, 6.92>
<513.58, 1657.42, 2, 8.60>
<1464.12, 2056.39, 1, 9.02>
<1494.16, 1915.95, 1, 3.42>
<1647.29, 2069.07, 1, 8.81>
<1089.22, 1511.01, 1, 6.01>
<427.05, 1530.81, 1, 7.34>
<1070.46, 1492.24, 1, 3.84>
<1085.57, 1507.36, 1, 3.07>
<928.14, 1520.42, 1, 3.49>
<873.00, 1465.27, 1, 6.50>
<1139.23, 1561.02, 1, 3.98>
<902.43, 1494.71, 1, 5.24>
<626.66, 1048.44, 1, 8.46>
<615.41, 1037.19, 1, 7.55>
<116.95, 986.81, 1, 3.84>
<127.97, 975.79, 1, 4.40>
<391.83, 984.11, 1, 3.63>
<94.69, 1009.07, 1, 7.20>
<2825.09, 3286.96, 2, 7.06>
<2883.09, 3515.45, 2, 9.02>
<809.43, 1271.30, 2, 4.96>
<933.61, 1395.48, 2, 7.48>
<285.74, 1429.59, 2, 9.86>
<272.42, 1416.26, 2, 9.37>
<657.41, 1289.78, 2, 9.37>
<846.14, 1308.01, 2, 6.08>
<830.16, 1292.03, 2, 9.16>
<861.39, 1323.26, 2, 9.93>
<295.80, 1439.65, 2, 8.25>
<807.10, 1439.46, 2, 9.09>
<667.21, 1088.99, 1, 9.37>
<6.41, 1110.17, 1, 8.88>
<730.91, 1152.69, 1, 7.83>
<624.50, 1046.29, 1, 7.76>
