

budget= 204800.000000;

nprojects=256;

nareas= 8;

nactivities= 16;

nsynergies= 10;

Areas=[
< 19313.449, 32684.301>
< 5564.281, 41732.109>
< 18867.201, 35039.086>
< 9291.243, 38492.293>
< 5472.902, 45607.520>
< 5099.797, 48448.074>
< 9905.089, 67134.492>
< 25551.895, 35243.992>
];


Projects= [
<2993.24, 5854.52, 2,7.27>
<3768.36, 5866.44, 6,8.46>
<3212.46, 6052.20, 8,6.50>
<4070.74, 5991.44, 2,4.26>
<4787.34, 5866.76, 7,4.82>
<1062.05, 5931.88, 8,8.04>
<2147.60, 6061.60, 2,7.13>
<2672.64, 5904.68, 5,9.93>
<3697.88, 6004.98, 2,8.74>
<4051.78, 5719.62, 3,9.16>
<4709.38, 5804.52, 7,7.55>
<317.98, 5872.20, 4,9.65>
<3654.92, 5883.90, 8,3.56>
<1657.14, 5841.16, 6,5.17>
<728.82, 5871.58, 4,7.34>
<931.71, 6004.46, 5,6.85>
<2255.30, 5804.50, 4,7.27>
<3380.93, 5956.52, 2,8.11>
<3597.46, 5861.78, 6,3.84>
<1490.01, 5727.74, 4,7.62>
<3399.84, 5796.56, 7,4.12>
<5065.20, 5908.76, 6,9.51>
<3901.57, 5930.90, 5,9.72>
<2276.46, 5878.70, 7,7.55>
<4341.57, 5832.08, 2,9.86>
<3281.87, 5917.82, 7,4.61>
<2785.84, 5824.72, 1,7.27>
<2990.73, 6002.10, 5,9.30>
<3376.20, 5840.78, 7,8.81>
<1189.78, 5840.80, 3,4.89>
<2251.53, 5941.38, 7,3.28>
<237.50, 5928.22, 5,8.11>
<3257.46, 5994.04, 8,7.76>
<914.62, 5780.54, 7,8.60>
<1280.66, 6001.14, 8,9.30>
<2511.86, 5867.98, 7,8.25>
<2696.72, 5664.46, 1,9.16>
<4714.28, 5861.68, 6,8.95>
<3384.58, 5978.08, 3,7.48>
<2454.88, 5777.84, 3,7.41>
<3365.24, 5945.12, 5,6.85>
<2840.36, 5734.44, 2,8.39>
<2452.63, 5930.26, 3,3.70>
<1840.20, 6037.24, 5,9.30>
<3714.20, 5921.18, 8,9.44>
<3971.10, 5934.60, 8,6.01>
<3049.25, 5919.52, 1,6.64>
<1979.88, 5931.80, 7,7.55>
<3974.28, 5908.34, 7,3.98>
<490.88, 5842.96, 7,6.99>
<2027.17, 5883.02, 3,6.01>
<2394.59, 5732.26, 7,3.98>
<998.23, 5798.92, 5,6.92>
<4454.45, 5873.32, 1,7.69>
